name,temp1,temp2,temp3,hum1,hum2,hum3,disease,risk
1078444_20211012_5_1_a8_3_2_13_2_10.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078445_20211012_5_1_a8_3_2_13_2_11.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078446_20211012_5_1_a8_3_2_13_2_12.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078447_20211012_5_1_a8_3_2_13_2_13.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078448_20211012_5_1_a8_3_2_13_2_14.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078449_20211012_5_1_a8_3_2_13_2_15.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078450_20211012_5_1_a8_3_2_13_2_16.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078451_20211012_5_1_a8_3_2_13_2_17.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078452_20211012_5_1_a8_3_2_13_2_18.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078453_20211012_5_1_a8_3_2_13_2_19.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078454_20211012_5_1_a8_3_2_13_2_20.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078455_20211012_5_1_a8_3_2_13_2_21.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078456_20211012_5_1_a8_3_2_13_2_22.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078457_20211012_5_1_a8_3_2_13_2_23.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078458_20211012_5_1_a8_3_2_13_2_24.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078459_20211012_5_1_a8_3_2_13_2_25.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078460_20211012_5_1_a8_3_2_13_2_26.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078461_20211012_5_1_a8_3_2_13_2_27.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078462_20211012_5_1_a8_3_2_13_2_28.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078463_20211012_5_1_a8_3_2_13_2_29.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078464_20211012_5_1_a8_3_2_13_2_30.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078465_20211012_5_1_a8_3_2_13_2_31.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078466_20211012_5_1_a8_3_2_13_2_32.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078467_20211012_5_1_a8_3_2_13_2_33.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078468_20211012_5_1_a8_3_2_13_2_34.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078469_20211012_5_1_a8_3_2_13_2_35.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078470_20211012_5_1_a8_3_2_13_2_36.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078471_20211012_5_1_a8_3_2_13_2_37.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078472_20211012_5_1_a8_3_2_13_2_38.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078473_20211012_5_1_a8_3_2_13_2_39.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078474_20211012_5_1_a8_3_2_13_2_40.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078475_20211012_5_1_a8_3_2_13_2_41.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078476_20211012_5_1_a8_3_2_13_2_42.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078477_20211012_5_1_a8_3_2_13_2_43.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
1078478_20211012_5_1_a8_3_2_13_2_44.csv,20.15,13.8,26.5,81.55,97.1,66,A8,C
